"metabolite";"Time";"Treatment";"P_Value";"Rho"
"Aspartate";15;"C";0.0490426316833764;-0.648484848484848
"Aspartate";15;"Fe";0.520634920634921;-0.25
"Aspartate";15;"P";0.0490426316833765;0.648484848484848
"Aspartate";30;"C";0.367683999158498;-0.321212121212121
"Aspartate";30;"Fe";0.190932019316111;-0.454545454545455
"Aspartate";30;"P";0.26288678352469;0.393939393939394
"Aspartate";60;"C";0.972841176143636;0.0181818181818182
"Aspartate";60;"Fe";0.864753528804526;-0.0666666666666667
"Aspartate";60;"P";0.0802150639781516;0.587878787878788
"Aspartate";120;"C";0.0184138413143277;-0.745454545454545
"Aspartate";120;"Fe";0.0159208292880929;-0.757575757575757
"Aspartate";120;"P";0.312800267381167;0.357575757575757
"Citrulline";15;"C";0.491555497342584;-0.248484848484848
"Citrulline";15;"Fe";0.00450837742504409;-0.866666666666667
"Citrulline";15;"P";0.387054968154447;0.309090909090909
"Citrulline";30;"C";0.559908079271241;0.212121212121212
"Citrulline";30;"Fe";0.864753528804526;-0.0666666666666667
"Citrulline";30;"P";0.312800267381167;-0.357575757575757
"Citrulline";60;"C";0.864753528804526;-0.0666666666666667
"Citrulline";60;"Fe";0.491555497342584;-0.248484848484848
"Citrulline";60;"P";0.204200583289326;-0.442424242424242
"Citrulline";120;"C";0.631967363906089;0.175757575757576
"Citrulline";120;"Fe";0.491555497342584;-0.248484848484848
"Citrulline";120;"P";0.536688086753551;-0.224242424242424
"GABA";15;"C";0.000880224994754143;0.903030303030303
"GABA";15;"Fe";0.0665619488536155;0.65
"GABA";15;"P";0;0.987878787878788
"GABA";30;"C";0.0184138413143277;0.745454545454545
"GABA";30;"Fe";0;0.939393939393939
"GABA";30;"P";0;0.951515151515151
"GABA";60;"C";0.0019770587107552;0.878787878787879
"GABA";60;"Fe";0.406950227375658;0.296969696969697
"GABA";60;"P";0;0.975757575757576
"GABA";120;"C";0.0275141191111856;0.709090909090909
"GABA";120;"Fe";0.0098441361663116;0.793939393939394
"GABA";120;"P";0.00823557082285116;0.806060606060606
"Glutamate";15;"C";0.469675250206491;-0.260606060606061
"Glutamate";15;"Fe";0.161800044091711;0.516666666666667
"Glutamate";15;"P";0.10429776397167;0.551515151515151
"Glutamate";30;"C";0.607566897460635;-0.187878787878788
"Glutamate";30;"Fe";0.178219329270541;0.466666666666667
"Glutamate";30;"P";0.295604089197811;0.36969696969697
"Glutamate";60;"C";0.113298067042129;0.539393939393939
"Glutamate";60;"Fe";1;0.00606060606060606
"Glutamate";60;"P";0.0544450679375418;0.636363636363636
"Glutamate";120;"C";0.656721421523199;-0.163636363636364
"Glutamate";120;"Fe";0.681807643477163;-0.151515151515151
"Glutamate";120;"P";0.811416953056797;0.0909090909090909
"Glutamine";15;"C";0.0877680432613642;0.575757575757576
"Glutamine";15;"Fe";0.613403880070547;-0.2
"Glutamine";15;"P";0.0602489828244726;0.624242424242424
"Glutamine";30;"C";0.972841176143636;0.0181818181818182
"Glutamine";30;"Fe";0.0731198750392827;0.6
"Glutamine";30;"P";0.000880224994754143;0.903030303030303
"Glutamine";60;"C";0.00445902899690778;0.842424242424242
"Glutamine";60;"Fe";0.278965216116317;-0.381818181818182
"Glutamine";60;"P";0.0350915379341639;0.684848484848485
"Glutamine";120;"C";0.631967363906088;-0.175757575757576
"Glutamine";120;"Fe";0.0136717821032753;-0.76969696969697
"Glutamine";120;"P";0;0.951515151515151
